300		
101.1	8.2	1
95.6	10.2	1
89.1	16.2	0
99	11.1	0
88.3	13.9	0
82.7	19.4	0
80.2	13.6	0
84.8	12.5	0
56.6	10.6	1
65.6	9.2	1
97.5	14.5	0
104.1	14.5	0
92.3	10	0
106.9	14.6	0
98.8	9.7	1
82.3	8.7	1
63.6	8.7	1
77.1	10.1	1
93.7	15.4	0
93	14.4	0
87.1	15.6	0
81.8	11.9	1
79.6	9.5	1
90.8	11	1
77.4	8	1
80.3	7.6	1
94.5	14	0
100.5	14.6	0
84.1	13.2	0
94.9	19.1	0
102.2	10.6	0
110	16.8	0
100.9	13.4	0
78.6	9.1	1
61.3	13.8	1
79.2	13.3	1
75.3	9	1
79.2	12.9	1
74.2	11.3	1
87	10.2	1
69.1	7.9	1
77.3	14.3	0
90.5	18.4	0
92.8	12.5	0
75.6	9.3	1
81.4	12.8	1
84.3	12.1	1
80.7	10.5	1
59.2	10.8	1
80.4	11.8	1
67.4	14.1	1
82.4	7.7	1
86.3	6.9	1
66.6	10.9	1
77.2	7.2	1
74.5	13.1	1
86.5	11.4	1
108.3	18.4	0
80.4	14.1	0
83.8	10.9	0
107.3	17.8	0
84.5	17.5	0
97.2	14.6	0
99.9	9.7	0
118	15.7	0
98.2	16.6	0
81.8	18.1	0
84.5	11.6	1
61.8	11.8	1
79.6	8.8	1
70.2	6.8	1
77.6	10.3	1
72.2	6.3	1
101	7.1	1
81.3	10.3	1
82.8	11.8	1
81.3	10.2	1
75.7	8.1	1
79.4	10.2	1
67.1	10.8	1
99	11.5	1
81.8	10.5	1
83.3	9.2	1
70.1	12.3	1
68.6	8.6	1
87.6	13.4	1
93.5	10.6	1
86.2	11.6	1
95.8	14.5	1
75.4	10.4	1
103.3	8.2	1
79.5	13.1	1
78.3	11.2	1
85.5	9.9	1
69.7	12.8	1
73.6	7.8	1
83.2	9	1
66.5	7.8	1
78.2	13.7	1
82.1	10.9	1
70.6	10.8	1
77	8	1
77.1	5.3	1
96.7	8.2	1
89.9	11.8	1
100.6	10.8	1
111.8	8.4	1
85.5	14.7	1
84.2	11	1
93.2	11.7	1
72.5	7.5	1
74.6	7	1
93.4	10.4	1
101.5	10.3	1
90.2	9.9	1
96.2	11.4	1
76.5	9	1
75.7	10.5	1
61.1	10.9	1
80.2	9.2	1
101.8	9.5	1
84.6	7.6	1
68.8	12.3	1
96.4	10.9	1
82	7.5	1
63.7	11.5	1
76.7	11.2	1
73.1	14.4	0
87.1	12.3	0
94.1	17.4	0
88.8	14	0
97.4	17.2	0
104	17.2	0
88.6	14	0
105.4	21.3	0
102.7	17.8	0
90.3	15.5	0
83.3	13.4	0
111.6	13.8	0
88.2	16.3	0
92.5	17.5	0
103.2	12.8	0
110.1	9.7	0
109	16.6	0
107.1	18.5	0
95.1	19.7	0
99.4	12.5	0
101.3	13	0
92.4	13.9	0
89.3	13.7	0
81.7	17.2	0
87.7	12.7	0
97.9	14.9	0
99.3	13.9	0
121.3	10.2	0
101.5	12	0
87.4	13	0
72.4	10.8	1
83.6	11.2	1
89.8	7.6	1
71.8	9.5	1
67.6	9.6	1
93.2	10.4	1
69.8	7.9	1
86	7.7	1
89.3	8.6	1
80.1	11.4	1
74.7	11	1
105.5	10.9	1
85.7	12.8	1
87.6	11.2	1
68.4	9	1
76.6	6.3	1
79.6	11.1	1
96.1	11.4	1
84.8	13.4	1
86.9	12.9	1
101.2	7.9	1
101.1	16.2	0
82.1	11.7	0
85.7	17.2	0
117.1	2.4	0
93.3	16.4	0
102.3	13.4	0
88.5	9.9	0
81.2	20.7	0
94.1	12.9	0
83.1	8.1	0
93.5	17.3	0
87.7	17.3	0
103	13.6	0
91.2	15.5	0
99.1	18.8	0
96.8	12.2	0
95.2	11.8	0
90.2	16.7	0
90.7	12.1	0
98.2	10.5	0
101.8	12.6	0
82.4	18	0
102.1	17.8	0
101	16.1	0
78.7	21.1	0
90	16.8	0
102.1	20	0
88.9	17.8	0
88.5	12.1	0
105.6	14.7	0
110.9	17.3	0
115.2	13.8	0
101	21.6	0
89.4	16.9	0
87.4	20.4	0
96.8	16.2	0
80.7	16.1	0
95.5	16.9	0
96.7	14.2	0
93.7	15.6	0
87.7	15.3	0
105	16.7	0
92.6	17.7	0
95.3	13.8	0
117.4	15.1	0
87	17.7	0
96.5	14.7	0
98.9	11.2	0
101.5	13.9	0
91.4	11.8	0
98.5	19.1	0
91.2	9.1	0
83.5	14.8	0
93.7	15.8	0
78.2	12.5	0
102.6	15.8	0
111.6	18.4	0
99.5	16.8	0
104.6	13.1	0
83.5	11.6	1
80.1	5.1	1
105.8	12.2	1
82.3	10.1	1
88.5	9.4	1
72.7	7.4	1
88.2	13.5	1
84.1	5.1	1
73.4	14	1
66.3	11.2	1
88.2	12.3	0
89.6	17.2	0
78.9	15.4	0
105.3	15.6	0
96.3	14.6	0
99.5	14.2	0
88	16	0
95.1	12.4	0
85.1	18.9	0
100.1	7.9	0
101.4	16.8	0
96.4	14.8	0
111.2	11.4	0
77.2	13	0
92	19.5	0
76.6	14.5	0
